{-55.0, 10.0, 	-40.0} 
{-50.0, 10.0, 	-40.0} 
{-45.0, 10.0, 	-40.0}  
{-40.0, 10.0, 	-40.0} 
{-35.0, 10.0, 	-40.0}   
{-30.0, 10.0, 	-40.0}  
{-25.0, 10.0, 	-40.0}  
{-20.0, 10.0, 	-40.0}  
{-15.0, 10.0, 	-40.0}  
{-10.0, 10.0, 	-40.0}  
{ -5.0, 10.0, 	-40.0}  
{  0.0, 10.0, 	-40.0}  
{  5.0, 10.0, 	-40.0}  
{ 10.0, 10.0, 	-40.0}  
{ 15.0, 10.0, 	-40.0} 
{ 20.0, 10.0, 	-40.0}
{ 25.0, 10.0, 	-40.0}
{ 30.0, 10.0, 	-40.0}
{ 35.0, 10.0, 	-40.0} 
{-55.0, -10.0, 	-40.0} 
{-50.0,-10.0, 	-40.0} 
{-45.0, -10.0, 	-40.0}  
{-40.0, -10.0, 	-40.0} 
{-35.0, -10.0, 	-40.0}   
{-30.0, -10.0, 	-40.0}  
{-25.0, -10.0, 	-40.0}  
{-20.0, -10.0, 	-40.0}  
{-15.0, -10.0, 	-40.0}  
{-10.0, -10.0, 	-40.0}  
{ -5.0, -10.0, 	-40.0}  
{  0.0, -10.0, 	-40.0}  
{  5.0, -10.0, 	-40.0}  
{ 10.0, -10.0, 	-40.0}  
{ 15.0, -10.0, 	-40.0} 
{ 20.0, -10.0, 	-40.0}
{ 25.0, -10.0, 	-40.0}
{ 30.0, -10.0, 	-40.0}
{ 35.0, -10.0, 	-40.0} 
{ 40.0, -10.0, 	-40.0} 
{ 25.0, -20.0, 	-40.0}
{ 30.0, -20.0, 	-40.0}
{ 35.0, -20.0, 	-40.0} 
{ 40.0, -20.0, 	-40.0} 
{ 40.0, -10.0, 	-45.0} 
{ 40.0, -10.0, 	-50.0} 
{ 40.0, -10.0, 	-55.0} 
{ 40.0, -20.0, 	-45.0} 
{ 40.0, -20.0, 	-50.0} 
{ 40.0, -20.0, 	-55.0} 
{ 50.0, 2.0, 	-45.0} 
{ 50.0, 2.0, 	-50.0} 
{ 50.0, 2.0, 	-55.0} 
{55.0, 10.0, 	-10.0} 
{50.0, 10.0, 	-10.0} 
{45.0, 10.0, 	-10.0}  
{40.0, 10.0, 	-10.0} 
{35.0, 10.0, 	-10.0}   
{30.0, 10.0, 	-10.0}  
{25.0, 10.0, 	-10.0}  
{20.0, 10.0, 	-10.0}  
{15.0, 10.0, 	-10.0}  
{10.0, 10.0, 	-10.0}  
{ 5.0, 10.0, 	-10.0}  
{  0.0, 10.0, 	-10.0}  
{ -5.0, 10.0, 	-10.0}  
{ -10.0, 10.0, 	-10.0}  
{ -15.0, 10.0, 	-10.0} 
{ -20.0, 10.0, 	-10.0}
{ -25.0, 10.0, 	-10.0}
{ -30.0, 10.0, 	-10.0}
{ -35.0, 10.0, 	-10.0} 
{ -40.0, 10.0, 	-10.0} 
{ -45.0, 10.0, 	-10.0} 
{ -50.0, 10.0, 	-10.0} 
{ -55.0, 10.0, 	-10.0} 
{ -35.0, 25.0, 	-10.0} 
{ -40.0, 25.0, 	-10.0} 
{ -45.0, 25.0, 	-10.0} 
{ -50.0, 25.0, 	-10.0} 
{ -55.0, 25.0, 	-10.0} 
{ -55.0, 0.0, 	-30.0} 
{ -55.0, 5.0, 	-20.0} 
{ -45.0, 10.0, 	-20.0} 
{ -45.0, 15.0, 	-30.0} 
{ -35.0, 20.0, 	-30.0} 
{ -25.0, 0.0, 	0.0} 
{ -25.0, 5.0, 	-5.0} 
{ -30.0, 15.0, 	0.0} 
{ -30.0, 20.0, 	7.0} 
{ -30.0, 20.0, 	25.0} 
{ -30.0, 20.0, 	43.0}
{ -30.0, 20.0, 	54.0}
{ -30.0, 10.0, 	7.0} 
{ -30.0, 10.0, 	25.0} 
{ -30.0, 10.0, 	43.0}
{ -30.0, 10.0, 	54.0}
{55.0, 10.0, 	40.0} 
{50.0, 10.0, 	40.0} 
{45.0, 10.0, 	40.0}  
{40.0, 10.0, 	40.0} 
{35.0, 10.0, 	40.0}   
{30.0, 10.0, 	40.0}  
{25.0, 10.0, 	40.0}  
{20.0, 10.0, 	40.0}  
{15.0, 10.0, 	40.0}  
{10.0, 10.0, 	40.0}  
{ 5.0, 10.0, 	40.0}  
{  0.0, 10.0, 	40.0}  
{ -5.0, 10.0, 	40.0}  
{ -10.0, 10.0, 	40.0}  
{ -15.0, 10.0, 	40.0} 
{ -20.0, 10.0, 	40.0}
{ -25.0, 10.0, 	40.0}
{ -30.0, 10.0, 	40.0}
{ -35.0, 10.0, 	40.0} 
{ -40.0, 10.0, 	40.0} 
{ -45.0, 10.0, 	40.0} 
{ -50.0, 10.0, 	40.0} 
{ -55.0, 10.0, 	40.0} 
{ -10.0, -10.0, 	54.0}
{ -00.0, -15.0, 	54.0}
{ 10.0, -15.0, 	54.0}
{ 20.0, -15.0, 	54.0}
{ 30.0, -20.0, 	54.0}
{ 40.0, -25.0, 	54.0}
{ 50,   -25.0,  54.0 }
